day,date,ticker,action,shares,price
1,2026-07-26,ALPH,buy,19.5980,102.0511
1,2026-07-26,BETA,buy,20.0287,99.8567
1,2026-07-26,GAMA,buy,20.1059,99.4735
1,2026-07-26,DELT,buy,20.0026,99.9872
1,2026-07-26,OMEG,buy,20.0368,99.8163
2,2026-07-26,ALPH,sell,0.1279,103.1627
2,2026-07-26,BETA,buy,0.0587,99.9926
2,2026-07-26,GAMA,buy,0.0746,99.5314
2,2026-07-26,DELT,sell,0.3191,102.0443
2,2026-07-26,OMEG,buy,0.2779,98.8738
3,2026-07-26,ALPH,sell,0.0419,102.9694
3,2026-07-26,BETA,sell,0.0909,100.0437
3,2026-07-26,GAMA,buy,0.1537,98.3823
3,2026-07-26,DELT,sell,0.0814,102.0564
3,2026-07-26,OMEG,buy,0.0668,98.1537
4,2026-07-27,ALPH,buy,0.2518,102.5577
4,2026-07-27,BETA,buy,0.2451,99.7129
4,2026-07-27,GAMA,buy,0.0867,98.8374
4,2026-07-27,DELT,sell,0.1270,103.6369
4,2026-07-27,OMEG,sell,0.4512,101.2699
5,2026-07-28,ALPH,buy,0.4725,99.6002
5,2026-07-28,BETA,sell,0.0906,99.6083
5,2026-07-28,GAMA,buy,0.0138,98.2255
5,2026-07-28,DELT,sell,0.5244,105.9166
5,2026-07-28,OMEG,buy,0.1611,99.9032
